"Movie","Year","Duration","Genres","Rating","Num_of_Votes","Five_Year","Final_Genre","Types_of_Duration"
"The Pagan Queen",2009,99,"Fantasy,History,Romance",5.5,1881,"2005","Fantasy","Just Nice"
"Next Day Air",2009,84,"Action,Comedy,Crime",5.8,10107,"2005","Action","Very Short"
"Joy Division",2007,93,"Documentary,Music",7.8,3155,"2005","Documentary","Short"
"Please Vote for Me",2007,58,"Documentary",7.9,1286,"2005","Documentary","Very Short"
"Fifty Dead Men Walking",2008,117,"Crime,Drama,Thriller",6.9,10715,"2005","Thriller","Long"
"The Russell Girl",2008,120,"Drama",6.6,1679,"2005","Drama","Extremely Long"
"Adrift in Tokyo",2007,101,"Comedy",7.4,2292,"2005","Comedy","Just Nice"
"Long Weekend",2008,88,"Drama,Horror,Thriller",5.1,5591,"2005","Horror","Very Short"
"Dil Dosti Etc",2007,112,"Comedy,Crime,Drama",7,2730,"2005","Comedy","Long"
"Twilight",2008,122,"Drama,Fantasy,Romance",5.2,421123,"2005","Romance","Extremely Long"
"If I Were You 2",2009,96,"Comedy",5.6,2798,"2005","Comedy","Short"
"35 Shots of Rum",2008,100,"Drama",7.1,4219,"2005","Drama","Just Nice"
"Bereavement",2010,109,"Crime,Horror,Thriller",5.1,6710,"2010","Horror","Long"
"Tormented",2009,91,"Comedy,Horror",5.1,6049,"2005","Comedy","Short"
"Foxcatcher",2014,134,"Biography,Drama,Sport",7,133080,"2010","Sport","Extremely Long"
"Shorts",2009,89,"Comedy,Family,Fantasy",4.7,6759,"2005","Comedy","Very Short"
"Admiral",2008,124,"Biography,Drama,History",6.8,7625,"2005","Biography","Extremely Long"
"The Beckoning Silence",2007,73,"Drama",7.5,1114,"2005","Drama","Very Short"
"Shaurya: It Takes Courage to Make Right... Right",2008,149,"Crime,Drama,Thriller",7.3,3784,"2005","Thriller","Extremely Long"
"Lake Tahoe",2008,89,"Drama",6.7,1629,"2005","Drama","Very Short"
"Killers",2010,100,"Action,Comedy,Romance",5.5,86218,"2010","Comedy","Just Nice"
"The Blind Sunflowers",2008,98,"Drama",6.5,1849,"2005","Drama","Just Nice"
"Red Sands",2009,89,"Action,Horror,Thriller",4.2,3306,"2005","Horror","Very Short"
"Peep World",2010,79,"Comedy,Drama",5.6,3585,"2010","Comedy","Very Short"
"Two Lovers",2008,110,"Drama,Romance",7,37375,"2005","Drama","Long"
"Square One: Michael Jackson",2019,83,"Documentary",7.9,1364,"2015","Documentary","Very Short"
"24 City",2008,112,"Drama",7.1,1704,"2005","Drama","Long"
"The Girlfriend Experience",2009,77,"Drama",5.5,15746,"2005","Drama","Very Short"
